string,date,url,author,source
"Blue Origin postpones William Shatner’s space flight by a day: William Shatner is heading to space on October 13th | Photo by Axelle/Bauer-Griffin/FilmMagic
Jeff Bezos’ spaceflight company Blue Origin said Sunday it will postpone the flight that is slated to fly William Shatner to space due to forecasted high winds at i…: William Shatner is heading to space on October 13th | Photo by Axelle/Bauer-Griffin/FilmMagic
Jeff Bezos’ spaceflight company Blue Origin said Sunday it will postpone the flight that is slated to fl… [+736 chars]",2021-10-10T19:12:00Z,https://techncruncher.blogspot.com/2021/10/blue-origin-postpones-william-shatners.html,noreply@blogger.com (Unknown),"{'id': None, 'name': 'Blogspot.com'}"
"Hubble Telescope snaps a doomed star's destruction - CanIndia News: <ol><li>Hubble Telescope snaps a doomed star's destruction  CanIndia News
</li><li>NASA: Glitch forces Hubble Space Telescope into safe mode  CNET
</li><li>Hubble image shows distant galaxies in an epic standoff  Popular Science
</li><li>Astronomers Observ…: NASA and Euopean Space Agency’s Hubble Space Telescope recently gave astronomers an unprecedented, comprehensive view of the first moments of a star’s cataclysmic demise.
Hubble’s data, combined wit… [+2159 chars]",2021-10-27T12:19:02Z,https://www.canindia.com/hubble-telescope-snaps-a-doomed-stars-destruction/,,"{'id': None, 'name': 'CanIndia News'}"
"Nubank is looking for staff with a focus on technology and opens 700 vacancies: The company wants to hire professionals from areas such as: software engineering, design and data science, product management, among others.: Looking for a job? The financial services platform Nubank announced that it has 700 job openings, mostly focused on technology. This new bank has operations in Brazil, Mexico and Colombia.
 The obje… [+804 chars]",2021-10-13T15:09:00Z,https://www.entrepreneur.com/article/391000,Entrepreneur en Español,"{'id': None, 'name': 'Entrepreneur'}"
"Blue Origin will fly William Shatner to the edge of space on October 12th: After decades of pretending to explore the universe in TV shows and movies, William Shatner is actually going to space. Blue Origin's second tourist spaceflight is scheduled for October 12th. The Star Trek actor and apparent Twitter verification gatekeeper wi…: After decades of pretending to explore the universe in TV shows and movies, William Shatner is actually going to space. Blue Origin's second tourist spaceflight is scheduled for October 12th. The Sta… [+1199 chars]",2021-10-04T14:40:25Z,https://www.engadget.com/william-shatner-blue-origin-spaceflight-new-shepard-144025171.html,Kris Holt,"{'id': 'engadget', 'name': 'Engadget'}"
"The FAA Weighs the SpaceX Launch Site's Environmental Effects: The Federal Aviation Administration is conducting a review and public hearings involving the space company's expanded site in Boca Chica, Texas.: The environment includes people, too. The FAAs draft report states that 527 people live in the region on the American side of the border. Ninety percent of them are people of color and 82 percent are… [+3230 chars]",2021-10-19T16:42:00Z,https://www.wired.com/story/the-faa-weighs-the-spacex-launch-sites-environmental-effects/,Ramin Skibba,"{'id': 'wired', 'name': 'Wired'}"
"Astronomers Get Ready to Probe Europa’s Hidden Ocean for Life: Jupiter’s most enigmatic moon, one of a few ocean worlds in the solar system, will be the target of upcoming missions by NASA and the European Space Agency.: Beyond Mars and the asteroid belt, half a billion miles from the sun, the solar system might seem frigid, bleak, and lifeless. But scientists believe theres a chance tiny alien creatures could reside… [+3861 chars]",2021-10-06T12:00:00Z,https://www.wired.com/story/astronomers-get-ready-to-probe-europas-hidden-ocean-for-life/,Ramin Skibba,"{'id': 'wired', 'name': 'Wired'}"
"Russian crew returns from shooting the first feature film on the ISS: Shooting for the first feature-length movie in space has wrapped. Space.comreports Russian actress Yulia Pereslid, producer Klim Shipenko and cosmonaut Oleg Novitskiy have returned to Earth after the first two spent 12 days filming their movie The Challenge a…: Shooting for the first feature-length movie in space has wrapped. Space.comreports Russian actress Yulia Pereslid, producer Klim Shipenko and cosmonaut Oleg Novitskiy have returned to Earth after the… [+1469 chars]",2021-10-17T13:46:28Z,https://www.engadget.com/russia-movie-crew-iss-return-134628745.html,Jon Fingas,"{'id': 'engadget', 'name': 'Engadget'}"
"Europe's Mercury space mission in final stretch - Yahoo News Canada: The BepiColombo space probe arrives at its destination in the coming hours but will immediately swing away.: Artwork: At the moment of closest approach, Bepi will be a mere 200km above the surface
Europe's first mission to Mercury arrives at its destination in the coming hours.
It'll be the briefest of vi… [+4588 chars]",2021-10-01T06:28:07Z,https://ca.news.yahoo.com/europes-bepicolombo-mission-bears-down-002424937.html,Jonathan Amos - BBC Science Correspondent,"{'id': None, 'name': 'Yahoo Entertainment'}"
"How the Team Behind Far Cry 6 Finished a Game in Lockdown: WIRED spoke to creators at Ubisoft to find out how they shot the AAA title’s crucial opening scene—when actors and engineers couldn’t work in the same space.: In March 2020, game creators at Ubisofts Toronto studio had just finished wrapping up the primo moments of Far Cry 6s scenes with Breaking Bads villain Giancarlo Esposito and Cocos young dreamer Anth… [+4679 chars]",2021-10-07T11:00:00Z,https://www.wired.com/story/how-ubisoft-finished-far-cry-6-lockdown/,Claire Sibonney,"{'id': 'wired', 'name': 'Wired'}"
"As SpaceX's Starlink Ramps Up, So Could Light Pollution: The constellation of internet-providing satellites is growing. Now the company and its rivals must avoid creating brighter night skies and space debris.: Its going to be difficult to compete against SpaceX in this domain, given its obvious advantage in launch. Competitors exist and are being formed, however, suggesting that the market still sees oppor… [+4924 chars]",2021-10-01T12:00:00Z,https://www.wired.com/story/as-spacexs-starlink-ramps-up-so-could-light-pollution/,Ramin Skibba,"{'id': 'wired', 'name': 'Wired'}"
